blackbox_id,acceleration_g,breathing_detected,fire_detected,human_presence,latitude,longitude,speed_kmph,tilt_degree,timestamp,fetch_time
ATSAD-B0A732166910,0.98,FALSE,FALSE,FALSE,22.692019,88.471718,1.87,9.64,54:48.7,24:50.3
ATSAD-B0A732166910,0.97,FALSE,FALSE,FALSE,22.692001,88.47171,1.61,5.58,54:53.7,24:55.4
ATSAD-B0A732166910,0.92,FALSE,FALSE,FALSE,22.691971,88.471779,8.37,5.85,54:58.1,25:00.4
ATSAD-B0A732166910,1.04,FALSE,FALSE,FALSE,22.6919,88.47187,9.37,12.82,55:03.8,25:05.5
ATSAD-B0A732166910,1.15,FALSE,FALSE,FALSE,22.691727,88.471909,14.74,3.04,55:08.3,25:10.5
ATSAD-B0A732166910,0.95,FALSE,FALSE,FALSE,22.691511,88.471909,17.13,6.8,55:13.9,25:15.6
ATSAD-B0A732166910,0.86,FALSE,FALSE,FALSE,22.691319,88.471825,14.76,17.85,55:18.4,25:20.6
ATSAD-B0A732166910,0.93,FALSE,FALSE,FALSE,22.691208,88.471794,8.43,8.07,55:23.8,25:25.7
ATSAD-B0A732166910,0.93,FALSE,FALSE,FALSE,22.691101,88.471802,6.07,7.92,55:28.2,25:30.7
ATSAD-B0A732166910,0.91,FALSE,FALSE,FALSE,22.691025,88.471886,12.59,5.51,55:34.5,25:35.8
ATSAD-B0A732166910,0.77,FALSE,FALSE,FALSE,22.690966,88.472107,18.28,6.06,55:39.0,25:40.8
ATSAD-B0A732166910,0.96,FALSE,FALSE,FALSE,22.690876,88.472412,26.95,14.29,55:44.5,25:45.9
ATSAD-B0A732166910,0.95,FALSE,FALSE,FALSE,22.690802,88.47274,22.17,9.25,55:49.0,25:50.9
ATSAD-B0A732166910,0.97,FALSE,FALSE,FALSE,22.690737,88.472984,18.21,4.35,55:53.5,25:56.0
ATSAD-B0A732166910,1.05,FALSE,FALSE,FALSE,22.690672,88.473221,15.22,5.62,55:58.8,26:01.0
ATSAD-B0A732166910,1.04,FALSE,FALSE,FALSE,22.690599,88.473648,19.17,3.77,56:08.4,26:06.1
ATSAD-B0A732166910,1.04,FALSE,FALSE,FALSE,22.690599,88.473648,19.17,3.77,56:08.4,26:11.2
ATSAD-B0A732166910,0.94,FALSE,FALSE,FALSE,22.690702,88.474236,25.65,13.41,56:18.4,26:16.2
ATSAD-B0A732166910,0.95,FALSE,FALSE,FALSE,22.6908,88.474632,28.72,15.43,56:23.6,26:21.3
ATSAD-B0A732166910,0.95,FALSE,FALSE,FALSE,22.6908,88.474632,28.72,15.43,56:23.6,26:26.3
ATSAD-B0A732166910,1.06,FALSE,FALSE,FALSE,22.691006,88.475395,25.08,7.33,56:33.7,26:31.5
ATSAD-B0A732166910,0.97,FALSE,FALSE,FALSE,22.691065,88.475731,24.32,7.89,56:38.8,26:36.6
ATSAD-B0A732166910,0.99,FALSE,FALSE,FALSE,22.691118,88.475952,14.3,7.49,56:43.5,26:41.6
ATSAD-B0A732166910,1.01,FALSE,FALSE,FALSE,22.691187,88.476166,14,8.55,56:48.3,26:46.7
ATSAD-B0A732166910,0.98,FALSE,FALSE,FALSE,22.691238,88.47641,17.04,10.96,56:53.3,26:51.7
ATSAD-B0A732166910,0.9,FALSE,FALSE,FALSE,22.691298,88.476715,22.26,11.06,56:58.4,26:56.8
ATSAD-B0A732166910,0.93,FALSE,FALSE,FALSE,22.69138,88.477066,27.15,14.23,57:03.5,27:01.9
ATSAD-B0A732166910,1.04,FALSE,FALSE,FALSE,22.691469,88.47744,26.47,15.13,57:08.9,27:06.9
ATSAD-B0A732166910,1.1,FALSE,FALSE,FALSE,22.691568,88.477814,28.24,9.53,57:13.1,27:12.0
ATSAD-B0A732166910,1,FALSE,FALSE,FALSE,22.691622,88.478271,32.93,5.43,57:18.7,27:17.1
ATSAD-B0A732166910,0.95,FALSE,FALSE,FALSE,22.691694,88.478668,26.08,13.64,57:23.6,27:22.1
ATSAD-B0A732166910,0.98,FALSE,FALSE,FALSE,22.691729,88.478836,10.35,5.09,57:28.6,27:27.2
ATSAD-B0A732166910,1.17,FALSE,FALSE,FALSE,22.69174,88.478981,10.54,14.27,57:33.7,27:32.3
ATSAD-B0A732166910,1.14,FALSE,FALSE,FALSE,22.691813,88.479309,24.15,3.28,57:38.6,27:37.3
ATSAD-B0A732166910,0.9,FALSE,FALSE,FALSE,22.691879,88.479652,23.52,7.67,57:43.4,27:42.4
ATSAD-B0A732166910,1.04,FALSE,FALSE,FALSE,22.691944,88.480011,25,12.13,57:48.6,27:47.4
ATSAD-B0A732166910,0.99,FALSE,FALSE,FALSE,22.692038,88.480415,29.67,18.7,57:53.9,27:52.5
ATSAD-B0A732166910,0.94,FALSE,FALSE,FALSE,22.692141,88.480797,23.69,6.28,57:58.6,27:57.5
ATSAD-B0A732166910,1.14,FALSE,FALSE,FALSE,22.692194,88.480942,9.15,21.3,58:03.7,28:02.6
